term,predictor,RR_95CI,p.value,outcome
(Intercept),profile_1+ses_6,"0 (0,0)",0,injury
clus2,profile_2,"1.06 (0.88,1.27)",0.5610704076645452,injury
clus3,profile_3,"1.19 (0.98,1.45)",0.0763623316167725,injury
clus4,profile_4,"1.11 (0.93,1.32)",0.22945443965144977,injury
ses_cat_r5,(Covariates),"0.87 (0.59,1.3)",0.49758193707647025,injury
ses_cat_r4,(Covariates),"0.95 (0.67,1.33)",0.769181561980362,injury
ses_cat_r3,(Covariates),"1.78 (1.28,2.44)",3.3075870741414e-4,injury
ses_cat_r2,(Covariates),"1.99 (1.4,2.8)",5.063540830052867e-5,injury
ses_cat_r1,(Covariates),"1.73 (1.16,2.55)",0.004493561005632599,injury
pop_density,(Covariates),"0.99 (0.93,1.06)",0.7646526937387598,injury
(Intercept),profile_1+ses_6,"0 (0,0)",2.1638344911737154e-246,death
clus2,profile_2,"1.03 (0.75,1.41)",0.8608313649172804,death
clus3,profile_3,"1.16 (0.83,1.61)",0.3669952090622323,death
clus4,profile_4,"1.05 (0.79,1.4)",0.7256099247954679,death
ses_cat_r5,(Covariates),"0.59 (0.28,1.23)",0.16391787321662712,death
ses_cat_r4,(Covariates),"1.08 (0.6,1.98)",0.8045979727700799,death
ses_cat_r3,(Covariates),"2.21 (1.27,3.94)",0.006856830576866506,death
ses_cat_r2,(Covariates),"2.08 (1.16,3.82)",0.017486317709691557,death
ses_cat_r1,(Covariates),"1.45 (0.73,2.91)",0.28536005899686673,death
pop_density,(Covariates),"0.81 (0.73,0.9)",2.0291509618845997e-5,death
(Intercept),profile_1+ses_6,"0 (0,0)",0,total
clus2,profile_2,"1.05 (0.87,1.26)",0.5976757534317928,total
clus3,profile_3,"1.19 (0.97,1.45)",0.0834771419595637,total
clus4,profile_4,"1.1 (0.92,1.31)",0.27838707483659647,total
ses_cat_r5,(Covariates),"0.85 (0.57,1.25)",0.396205613429893,total
ses_cat_r4,(Covariates),"0.96 (0.68,1.34)",0.8068347508240448,total
ses_cat_r3,(Covariates),"1.82 (1.31,2.49)",1.9995288053282614e-4,total
ses_cat_r2,(Covariates),"2.03 (1.43,2.84)",3.52634810360981e-5,total
ses_cat_r1,(Covariates),"1.76 (1.18,2.61)",0.003285908145652842,total
pop_density,(Covariates),"0.98 (0.91,1.04)",0.4209378729347703,total
